;;K0,1radni,2ljeto DF;P1,1radni,2ljeto DF;P2,1radni,2ljeto DF;JR0,1radni,2ljeto DF;K0,2subota,2ljeto;P1,2subota,2ljeto;P2,2subota,2ljeto;JRO,2subota,2ljeto;K0,3nedjelja,2ljeto;P1,3nedjelja,2ljeto;P2,3nedjelja,2ljeto;JRO,3nedjelja,2ljeto
0;00;50,3935536;37,86159195;34,03457449;98,05418812;55,64095377;48,30849793;44,23144501;96,67013006;56,62599385;60,06360028;52,93504509;97,93654453
0;15;47,39378288;37,01581848;33,18775793;97,95017768;51,53671637;47,75560659;42,24752588;96,8376882;52,86892914;58,10417906;51,54484848;97,73330052
0;30;44,43845117;36,34164227;33,15152937;98,04583463;48,1495531;46,03683731;43,10531835;96,23928224;49,4426839;57,15827573;52,86193398;97,81814399
0;45;42,11047554;35,25535958;32,67355534;98,15707309;46,05557343;45,15274711;41,268437;95,49475918;46,97371651;56,76606356;50,19030375;97,60841077
1;00;40,51032593;34,96311024;32,03244891;98,09543903;44,14623385;44,98261932;39,88726884;96,02196662;45,73871498;55,23278116;50,11654636;97,78518863
1;15;39,13069187;34,20446938;31,58473209;97,94847926;43,33541363;43,15096827;42,66404045;96,22230595;44,34254706;54,55635918;48,50788093;97,80041304
1;30;38,11766903;33,74327121;30,91626628;98,03984986;41,46219711;43,2418401;46,9285451;96,23163712;43,414176;54,34335731;47,85213315;97,64823743
1;45;37,25092294;33,60150786;30,73117723;97,86686366;40,8480213;42,73996031;45,81730042;96,2979975;41,39999012;53,94209573;48,59464232;97,35973623
2;00;37,07058929;33,89354626;30,6951168;97,9429104;40,07996208;43,42144005;41,59813528;96,24113943;40,97302826;53,74458559;48,93877541;97,02600955
2;15;36,75242263;34,42516029;31,06837786;97,98488641;39,83464364;43,89778212;38,99944203;96,36047599;40,74269196;52,85789761;48,02899085;96,88609961
2;30;36,27420467;34,15201637;30,95768411;98,04421677;39,96068;43,83337483;39,42466009;96,51876916;39,86230589;52,61601993;47,04930423;97,04478266
2;45;36,08213144;33,46347106;30,52575991;98,03668367;38,68086859;42,4989228;37,98767626;96,356429;39,3319481;52,73833299;46,10555485;97,13127933
3;00;35,95477959;33,02595643;29,96907973;97,95402194;38,1514092;41,7066337;38,07435853;96,20654667;39,96258194;51,41180487;46,63560759;97,1340537
3;15;35,91449804;32,4233699;29,89937687;97,89422617;37,98563779;41,18895385;36,28172111;96,05479625;39,88782776;51,83962415;45,15370315;97,30736229
3;30;36,20820483;32,37446767;30,0112324;97,82304323;39,48306693;41,27785405;36,81655099;95,04593685;39,28972234;51,45612844;44,50714881;97,16307178
3;45;36,94773335;31,99857789;29,59774173;97,85066625;39,47024264;40,30936495;35,78824576;96,25950185;38,9776517;50,97847931;43,91598176;97,02175662
4;00;38,26446288;31,8403263;29,72366704;95,11375188;39,82435869;40,2236459;35,17337995;93,8605591;38,81608069;50,65429318;44,56763642;93,71030075
4;15;39,60674846;31,33957157;28,708219;70,72248379;40,88607326;40,1866275;36,019643;74,50182142;38,96207355;49,55500538;46,1832375;67,86216738
4;30;41,16211939;31,13719313;28,23597829;42,72626464;41,97516768;39,78738538;34,45129332;46,65441074;39,0067431;49,45864066;44,77909405;41,83684042
4;45;43,47274695;30,93549436;28,02957299;27,79592523;42,58489713;39,71906188;35,95891603;29,6411379;39,9475808;48,83645859;42,36512089;26,16811703
5;00;45,38265534;30,8897347;29,49350859;18,83233939;43,58254401;41,31096853;35,21676576;25,16798359;41,00682585;48,07510537;42,14543784;15,86967684
5;15;47,51171391;33,13145814;32,39107347;11,06718562;43,62335922;42,07088559;39,71423343;10,66141824;41,57036112;49,82393391;40,54572804;8,971330642
5;30;50,11464827;37,03467195;34,57783473;2,86472893;46,32357644;46,23007148;39,66679211;3,563016689;43,37922374;54,75886675;41,36440069;3,872179535
5;45;52,94505077;37,72133446;36,22410512;1,159533119;47,20374504;46,20881626;40,3836148;1,352566151;46,13867351;54,23990949;41,80673241;1,015464402
6;00;54,42431563;37,64934634;44,68709468;1,208633674;49,68425426;45,45337102;41,92266131;1,009678401;47,88930379;52,54338595;43,10543102;1,011278733
6;15;55,00310925;42,49195842;47,23988375;1,436287242;51,92472449;48,59962262;46,03842604;1,323697138;50,39148533;52,96270237;43,63700015;0,831314815
6;30;56,93706006;45,60501777;51,37741815;1,378498259;54,3512846;50,92428361;47,20634451;1,509462699;52,91336132;55,1180098;43,59457769;1,012397478
6;45;57,42749276;49,87017998;56,46958958;1,427991828;56,18740299;54,72125808;46,72691653;0,951225511;54,89738153;57,08219287;47,6950724;1,143593691
