;;K0,1radni,13prijelazno DF;P1,1radni,13prijelazno DF;P2,1radni,13prijelazno DF;JR0,1radni,13prijelazno DF;K0,2subota,13prijelazno;P1,2subota,13prijelazno;P2,2subota,13prijelazno;JRO,2subota,13prijelazno;K0,3nedjelja,13prijelazno;P1,3nedjelja,13prijelazno;P2,3nedjelja,13prijelazno;JRO,3nedjelja,13prijelazno
0;00;50,3935536;37,86159195;34,03457449;98,05418812;49,42917682;42,10934466;31,42185523;96,32460453;55,12428371;60,86704899;55,94809659;97,37333486
0;15;47,39378288;37,01581848;33,18775793;97,95017768;46,29010897;41,19727351;31,72219912;96,7137139;51,33407663;59,4449615;54,25080951;96,93503324
0;30;44,43845117;36,34164227;33,15152937;98,04583463;43,10591161;41,08102679;31,45513499;97,78238077;47,31689521;59,2707545;52,0716292;96,46807493
0;45;42,11047554;35,25535958;32,67355534;98,15707309;39,94008118;40,97295465;31,17544953;96,81681648;43,85489695;58,11075901;52,27918168;96,51770315
1;00;40,51032593;34,96311024;32,03244891;98,09543903;38,22510111;39,95310152;29,98931702;96,43099646;41,40108166;57,41080505;50,54400682;96,75383475
1;15;39,13069187;34,20446938;31,58473209;97,94847926;37,12008848;40,14007054;30,29762621;96,27863593;40,00210691;57,36354447;53,7537875;97,23570645
1;30;38,11766903;33,74327121;30,91626628;98,03984986;35,45080073;38,85992043;30,42439868;96,75566283;38,99143785;56,77038232;52,00399596;97,02811589
1;45;37,25092294;33,60150786;30,73117723;97,86686366;34,83897565;39,34934019;29,76684567;96,82084026;37,42276761;56,90514794;53,58189519;96,57536397
2;00;37,07058929;33,89354626;30,6951168;97,9429104;33,88873708;39,41869371;30,14961553;96,88161974;36,79946906;56,61734889;52,40161284;97,04795752
2;15;36,75242263;34,42516029;31,06837786;97,98488641;33,15603471;39,23342468;29,24211414;96,90167351;37,02814655;56,37281231;54,77770867;96,87238371
2;30;36,27420467;34,15201637;30,95768411;98,04421677;32,13242738;39,68248739;29,72939215;96,6333019;35,97000889;57,16798256;53,67955554;96,46246161
2;45;36,08213144;33,46347106;30,52575991;98,03668367;32,13483517;39,78259012;29,04308971;96,49431122;35,84334009;56,18704706;56,07497201;96,44061873
3;00;35,95477959;33,02595643;29,96907973;97,95402194;31,41081618;39,29370966;29,14155656;96,3246381;35,72521011;55,9028489;53,39389014;96,62376084
3;15;35,91449804;32,4233699;29,89937687;97,89422617;32,15539468;39,28199442;28,77452487;96,55665821;35,42549879;56,06488023;51,39101348;96,42908405
