X	X.1	K0.1radni.4zima.DF
0	0	47,77191295
0	15	44,2614505
0	30	41,57718474
0	45	39,41486852
1	0	37,37442833
1	15	36,35659192
1	30	35,12633226
1	45	34,37101777
2	0	33,67131871
2	15	33,05742058
2	30	33,11830463
2	45	32,8156096
3	0	33,01734673
3	15	33,31297538
3	30	33,63056682
3	45	34,04870797
4	0	35,73700954
4	15	37,1773711
4	30	39,56337546
4	45	42,44108617
5	0	46,27432678
5	15	50,18032613
5	30	53,24276899
5	45	56,73722894
6	0	59,89823329
6	15	61,8111889
6	30	63,17085994
6	45	63,76714453
7	0	62,4764816
7	15	60,81880598
7	30	60,69272213
7	45	60,11626697
8	0	61,00456357
8	15	61,53884191
8	30	61,1694905
8	45	61,32760229
9	0	61,52729103
9	15	62,19861786
9	30	61,83890356
9	45	61,73164045
10	0	62,22403041
10	15	62,25058999
10	30	62,28467066
10	45	63,37563058
11	0	63,76057381
11	15	64,3694924
11	30	64,7042408
11	45	64,60552857
12	0	63,62761278
12	15	63,07113096
12	30	63,08447154
12	45	62,55722857
13	0	61,2244192
13	15	60,52772138
13	30	60,52162212
13	45	60,73451559
14	0	62,31724016
14	15	63,29716215
14	30	63,25947105
14	45	64,5219888
15	0	64,93194632
15	15	65,46679661
15	30	66,56614488
15	45	66,44751017
16	0	66,51357535
16	15	66,93783251
16	30	68,53810487
16	45	69,20929336
17	0	70,19430406
17	15	72,1662777
17	30	74,76521461
17	45	77,58723979
18	0	80,59188297
18	15	83,3077536
18	30	86,38917476
18	45	89,93844431
19	0	93,44419583
19	15	97,43980071
19	30	98,87277393
19	45	98,86861387
20	0	98,81118393
20	15	98,03988493
20	30	97,78984317
20	45	97,27987255
21	0	95,37313841
21	15	98,62560748
21	30	100
21	45	97,91220059
22	0	94,77899961
22	15	90,29547374
22	30	84,0405445
22	45	76,44178727
23	0	69,2575068
23	15	62,95554153
23	30	57,30794465
23	45	52,40829253
X	X.1	P1.1radni.4zima.DF
0	0	28,17625631
0	15	28,03897545
0	30	27,80109299
0	45	27,57358894
1	0	27,37813111
1	15	26,96788566
1	30	26,78111137
1	45	26,81185172
2	0	26,82243344
2	15	26,8605593
2	30	27,29338938
2	45	27,25710696
3	0	27,00622265
3	15	26,8981378
3	30	26,81170315
3	45	26,53246343
4	0	26,62601381
4	15	26,65681868
4	30	26,59061304
4	45	26,96682808
5	0	27,34829195
5	15	29,69438613
5	30	32,45478797
5	45	33,17797122
6	0	35,36662395
6	15	43,79920693
6	30	48,68346142
6	45	53,48232908
7	0	56,53265794
7	15	62,89624783
7	30	65,97441796
7	45	67,87623825
8	0	82,53672935
8	15	83,25813561
8	30	97,16916608
8	45	90,87062455
9	0	100
9	15	93,76299782
9	30	92,65342834
9	45	86,31191677
10	0	86,17646372
10	15	95,00842892
10	30	91,66884944
10	45	85,63067334
11	0	84,70826914
11	15	82,296806
11	30	80,70103455
11	45	78,91747422
12	0	77,74800943
12	15	77,03916126
12	30	75,55758754
12	45	74,71453548
13	0	74,67480271
13	15	74,27135631
13	30	74,30066375
13	45	74,24542103
14	0	72,84088684
14	15	71,77849428
14	30	71,85450751
14	45	71,50480053
15	0	70,71513992
15	15	70,37719541
15	30	68,36188309
15	45	67,6813141
16	0	67,86994357
16	15	66,58294017
16	30	65,10962187
16	45	65,01872034
17	0	64,51938358
17	15	64,50017306
17	30	64,43820754
17	45	64,59557861
18	0	64,95519483
18	15	64,08542163
18	30	63,25696465
18	45	62,80065265
19	0	61,8506828
19	15	60,24193295
