X	X.1	K0.1radni.4zima.DF
0	00	115,073799 
0	15	105,866758 
0	30	98,202607 
0	45	90,804999 
1	00	84,521848 
1	15	79,329829 
1	30	75,794263 
1	45	72,253886 
2	00	69,838265 
2	15	67,637598 
2	30	66,579597 
2	45	65,043107 
3	00	64,594386 
3	15	63,649187 
3	30	63,320197 
3	45	62,779433 
4	00	62,534896 
4	15	63,583407 
4	30	63,523058 
4	45	65,364479 
5	00	66,699858 
5	15	69,821280 
5	30	73,091525 
5	45	80,048703 
6	00	85,249248 
6	15	91,878247 
6	30	97,547794 
6	45	103,979152 
7	00	109,628200 
7	15	111,327153 
7	30	114,767425 
7	45	115,228564 
8	00	113,934073 
8	15	112,668211 
8	30	113,705328 
8	45	113,871542 
9	00	115,380089 
9	15	115,562485 
9	30	115,530585 
9	45	116,135433 
10	00	116,655789 
10	15	118,592515 
10	30	120,269095 
10	45	121,208339 
11	00	121,352011 
11	15	120,609932 
11	30	121,359425 
11	45	122,008813 
12	00	122,674635 
12	15	123,077222 
12	30	122,274268 
12	45	120,412359 
13	00	117,899955 
13	15	115,391266 
13	30	116,688057 
13	45	117,518306 
14	00	117,804127 
14	15	119,247029 
14	30	119,532260 
14	45	121,667516 
15	00	123,449552 
15	15	125,493324 
15	30	127,345192 
15	45	131,059629 
16	00	132,567329 
16	15	135,371227 
16	30	140,522013 
16	45	145,451914 
17	00	149,615970 
17	15	155,991809 
17	30	162,535981 
17	45	166,525679 
18	00	169,499246 
18	15	171,491523 
18	30	173,909320 
18	45	177,260101 
19	00	177,281979 
19	15	176,687995 
19	30	177,640483 
19	45	178,659953 
20	00	181,162498 
20	15	181,402718 
20	30	178,939217 
20	45	175,546567 
21	00	174,346458 
21	15	181,288649 
21	30	187,694052 
21	45	188,070901 
22	00	186,721563 
22	15	183,516198 
22	30	176,092373 
22	45	169,234200 
23	00	159,387473 
23	15	148,814482 
23	30	138,043376 
23	45	127,618885 
X	X.1	P1.1radni.4zima.DF
0	00	63,10478
0	15	61,76212
0	30	60,837064
0	45	59,638812
1	00	59,035988
1	15	58,518284
1	30	58,54452
1	45	57,900896
2	00	57,210616
2	15	56,469648
2	30	56,208412
2	45	55,797024
3	00	56,720352
3	15	57,260588
3	30	56,858012
3	45	57,27022
4	00	57,34242
4	15	56,846312
4	30	57,546212
4	45	57,48168
5	00	55,709596
5	15	55,515464
5	30	56,221656
5	45	56,857868
6	00	59,439464
6	15	67,457396
6	30	76,591048
6	45	77,951756
7	00	85,719432
7	15	108,492872
7	30	123,513624
7	45	134,4423
8	00	145,357768
8	15	163,650208
8	30	174,028788
8	45	195,288876
9	00	225,847096
9	15	223,81902
9	30	221,771688
9	45	222,93622
10	00	232,984032
10	15	232,588792
10	30	224,392616
10	45	223,166676
11	00	220,392976
11	15	218,49414
11	30	217,517888
11	45	213,280844
12	00	216,688064
12	15	209,09528
12	30	202,399244
12	45	187,705384
13	00	183,604364
13	15	191,472608
13	30	179,11646
13	45	173,001672
14	00	173,30398
14	15	173,978916
14	30	174,901012
14	45	175,259384
15	00	171,698368
15	15	169,157628
15	30	167,82372
15	45	166,669196
16	00	166,453768
16	15	165,714036
16	30	167,155484
16	45	169,392316
17	00	170,256404
17	15	167,516064
17	30	165,103704
17	45	162,71366
18	00	160,64458
18	15	157,567368
18	30	155,540892
18	45	152,527296
19	00	147,561596
19	15	140,291024
19	30	134,532856
19	45	130,095724
20	00	126,735748
20	15	122,812592
20	30	120,357688
20	45	115,4411
21	00	107,960056
